1.58591E+18,"RT @MehboobaMufti: Proud moment that UK will have its first Indian origin PM. While all of India rightly celebrates, it would serve us well…"
1.58591E+18,@ReallySwara She was the one declaring that she didn’t even have even a single document to show for CAA. Their kinds keep lying openly to fool gullible people. She is an anti india person whose loyalty is for sale. She doesn’t have an iota of shame.
1.58591E+18,"RT @Abhayliston: @AskAnshul I think we need a new set of team to counter illegal Bangladeshi coming to India also caa, NRC is required in W…"
1.58589E+18,Should India let in #Bagladeshi Sunni Muslims? Congress &amp; Christian #West tell it to be #secular. But #pluralism respects all #secularism favors atheists &amp; India's constitution okays barrings like #CAA https://t.co/0yRL2oLbwK's https://t.co/SH4EqpiqpW says https://t.co/ZTFEzGONjM
1.58589E+18,Almost enticing civil war Amit Shah/BJP's CAA triggered violence. 'With love (Islamophilia) from West' saw next chance to denigrate India https://t.co/krjasUSPma sponsored article https://t.co/0KyK5wvHnV says CAA isn't enough for suffering Pak minorities https://t.co/rQt4GfQlat
1.58587E+18,"@ArvindKejriwal @ArvindKejriwal pls support caa which is for the minority hindus, sikhs and Christians then who are in danger in pakistan on behalf of 130cr Indians🙏🏼 #caa #indiancurrencynotes #ArvindKejriwal #india"
1.58584E+18,"@ofnosurnamefame @babarazam258 phenomenal human, after hindus in pakistan being targeted for loss to India, thinking like urs is living example why NRC and CAA shud be passed immediately"
1.58583E+18,"RT @Abhayliston: @AskAnshul I think we need a new set of team to counter illegal Bangladeshi coming to India also caa, NRC is required in W…"
1.58583E+18,"RT @hatefreeworldX: Did BJP think #CAA_NRC_NPR would attract people to India?

Around 70-80 Afghan Sikhs+Hindus in Gurdwara Karte Parwan di…"
1.58583E+18,"RT @hatefreeworldX: He is unworthy of leading India. 
#ResignModi

He never was. Covid has merely highlighted WHAT

•Godhra shone a spotlig…"
1.58583E+18,RT @VoiceOfHindu71: Government of India passed CAA bill for security of Hindus in Bangladesh and Pakistan. Those who cannot provide securit…
1.58577E+18,"RT @Abhayliston: @AskAnshul I think we need a new set of team to counter illegal Bangladeshi coming to India also caa, NRC is required in W…"
1.58577E+18,"RT @DocAritraHindu: @AskAnshul ASAP NRC , CAA implementation need in India ."
1.58573E+18,'Will ensure CAA is not implemented if I am elected': Yashwant Sinha ahead of President election | India News – India TV https://t.co/F5Yg3X640N
1.58573E+18,"@AskAnshul I think we need a new set of team to counter illegal Bangladeshi coming to India also caa, NRC is required in West Bengal. I hope government start taking more serious action and start a new process to handle this issue specifically."
1.58571E+18,"@mkatju @khanumarfa @RanaAyyub The use of citizenship identifications such as CAA/NRC as carried out in Assam to single out Muslims, the numerous hate speeches that target Muslims..these are real experiences of a Muslim in India under majority of Hindus. Whereas,the Hindus do not experience such systemic abuse"
1.5857E+18,"@AskAnshul ASAP NRC , CAA implementation need in India ."
1.5857E+18,Hope you have one way ticket and not coming back to India. By the way did you show any documents to get this passport -then why this drama and instigate common janta during CAA/NRC. You indeed are shameless soul to speak against our country and our culture. https://t.co/lNPqUnDf6S
1.58569E+18,"@nasimchow @AskAnshul So why BD protest over India NRC CAA. NPR  if internal issue

Bcz 5 Illegal BD lost their job in India"
1.58569E+18,"@ForeignPlayer21 @LadyVelvet_HFQ Great to here you acknowledging India as a Hindu Country…… we have responsibility to feed the invaders that’s the reason. Matter of time till we have NRC &amp; CAA in place ,But I am sure if a list of comparing India v/s Islamic Country, we will top the chart."
1.58569E+18,@ReallySwara Why do u need india passport? U didn’t believe in passport caa !!!!
1.58568E+18,#media #violence Following AmitShah/#Modi/#BJP's CAA both #IndianMedia &amp; #WesternMedia dont know they R giving credence to violent protests in #India with #destruction of lives &amp; #properties https://t.co/VqVmmrTIiI sponsored https://t.co/TB70V4rpoB says https://t.co/6EaI714gXN
